네트워크 시뮬레이션 시작: round robin, constant (동적 라우팅 포함)

요청 1: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 2: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 3: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 4: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → 10.1.2.0는 Router1에서 도달 불가
요청 92: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1053초
요청 93: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0006초
요청 94: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4117초
요청 95: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2059초
요청 96: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1045초
요청 97: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0016초
요청 98: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4121초
요청 99: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2051초
요청 100: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1032초
요청 101: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0006초
요청 102: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4117초
요청 103: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2059초
요청 104: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1028초
요청 105: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0008초
요청 106: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4083초
요청 107: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2028초
요청 108: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1016초
요청 109: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0004초
요청 110: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4099초
요청 111: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2037초
요청 112: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1060초
요청 113: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0018초
요청 114: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:7777, 응답 시간=0.4089초
요청 115: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:8888, 응답 시간=0.2049초
요청 116: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:9999, 응답 시간=0.1059초
요청 117: MAC=0090.0c49.230 → Port=FA0/2, IP=10.1.2.2 → Router1에서 10.1.2.0로 패킷 전달: Next Hop = Router2, Cost = 1, 서버=10.1.2.2:6666, 응답 시간=0.0008초
